State,Latitude,Longitude
Johor,1.4854,103.7618
Kedah,6.1184,100.3685
Kelantan,5.3000,102.0000
Melaka,2.2000,102.2500
Negeri Sembilan,2.8258,101.9424
Pahang,3.8126,103.3256
Pulau Pinang,5.4141,100.3288
Perak,4.5921,101.0901
Perlis,6.4443,100.2048
Selangor,3.1738,101.4183
Terengganu,5.3117,103.1324
Sabah,5.9788,116.0753
Sarawak,1.5533,110.3592
Kuala Lumpur,3.1490,101.7069
Putrajaya,2.9097,101.7125
Labuan,5.2831,115.2308
